model_key,sample_id,sample_group,image_path,true_label,predicted_label,confidence,correct,target_type,target_label,target_layer,cam_min,cam_max,cam_mean,deletion_fraction,deletion_baseline,original_target_probability,salient_deleted_probability,shifted_control_deleted_probability,salient_probability_drop,shifted_control_probability_drop,salient_relative_drop,shifted_control_relative_drop,figure_png,status,error
resnet50_full_finetune,sample_01,strong_model_consensus_correct,test/348/2772725_4121b228-0a61-4daa-bc99-be897559b6a4.jpg,348,348,0.22728922963142395,True,predicted,348,model.layer4[-1],0.0,0.9999998807907104,0.040602702647447586,0.2,local_mean_blur_21_shifted_cam_control,0.22728922963142395,0.004173640161752701,0.00047252283548004925,0.22311558946967125,0.2268167067959439,0.981637316609675,0.997921050477199,results/grad_cam_extended/figures/per_model/resnet50_full_finetune/sample_01_predicted_class_348.png,completed,
resnet50_full_finetune,sample_02,strong_model_consensus_correct,test/398/2737429_b24d5ce4-1e94-4bbb-aabc-b1f292b9761b.jpg,398,398,0.9854059219360352,True,predicted,398,model.layer4[-1],0.0,0.9999998807907104,0.086686871945858,0.2,local_mean_blur_21_shifted_cam_control,0.9854059219360352,0.9203195571899414,0.9428249597549438,0.06508636474609375,0.04258096218109131,0.06605030809863414,0.043211595580258076,results/grad_cam_extended/figures/per_model/resnet50_full_finetune/sample_02_predicted_class_398.png,completed,
resnet50_full_finetune,sample_03,strong_model_consensus_correct,test/486/2726066_7e6f2f7f-a7ad-4b72-9509-d930c57b288f.jpg,486,486,0.8164163827896118,True,predicted,486,model.layer4[-1],0.0,0.9999998807907104,0.09134028106927872,0.2,local_mean_blur_21_shifted_cam_control,0.8164163827896118,0.9074859619140625,0.315177857875824,-0.09106957912445068,0.5012385249137878,-0.11154795646465984,0.6139496162498684,results/grad_cam_extended/figures/per_model/resnet50_full_finetune/sample_03_predicted_class_486.png,completed,
resnet50_full_finetune,sample_04,strong_model_consensus_correct,test/240/2697679_ee0a0f8e-cb7e-4c19-b7e6-80619f0b3d20.jpg,240,240,0.9850720763206482,True,predicted,240,model.layer4[-1],0.0,0.9999998807907104,0.13281476497650146,0.2,local_mean_blur_21_shifted_cam_control,0.9850720763206482,0.021527444943785667,0.9795655012130737,0.9635446313768625,0.005506575107574463,0.9781463250646663,0.0055900225373783025,results/grad_cam_extended/figures/per_model/resnet50_full_finetune/sample_04_predicted_class_240.png,completed,
resnet50_full_finetune,sample_05,strong_model_consensus_correct,test/111/2709151_72734e97-6c71-48a1-a2fc-d477b568e1a2.jpg,111,111,0.9099142551422119,True,predicted,111,model.layer4[-1],0.0,0.9999998807907104,0.07129669189453125,0.2,local_mean_blur_21_shifted_cam_control,0.9099142551422119,0.0031607975251972675,0.8737719058990479,0.9067534576170146,0.03614234924316406,0.9965262688134243,0.03972060997936044,results/grad_cam_extended/figures/per_model/resnet50_full_finetune/sample_05_predicted_class_111.png,completed,
resnet50_full_finetune,sample_06,strong_model_consensus_correct,test/485/2749752_e1cfd374-2b2d-45ae-b686-2545801190b7.jpg,485,485,0.528366208076477,True,predicted,485,model.layer4[-1],0.0,0.9999998807907104,0.05955655872821808,0.2,local_mean_blur_21_shifted_cam_control,0.528366208076477,0.022535186260938644,0.48106905817985535,0.5058310218155384,0.047297149896621704,0.9573493044852769,0.08951584937425786,results/grad_cam_extended/figures/per_model/resnet50_full_finetune/sample_06_predicted_class_485.png,completed,
resnet50_full_finetune,sample_07,strong_model_consensus_correct,test/311/2741711_a166ab02-f109-4f0e-9883-5e2351816635.jpg,311,311,0.952275276184082,True,predicted,311,model.layer4[-1],0.0,0.9999998807907104,0.05068327486515045,0.2,local_mean_blur_21_shifted_cam_control,0.952275276184082,0.9361675381660461,0.9281938076019287,0.01610773801803589,0.02408146858215332,0.016915001807651826,0.025288348006525574,results/grad_cam_extended/figures/per_model/resnet50_full_finetune/sample_07_predicted_class_311.png,completed,
resnet50_full_finetune,sample_08,strong_model_consensus_correct,test/192/2728793_dd08833f-e414-400b-a116-cb1a63fd5095.jpg,192,192,0.9937314391136169,True,predicted,192,model.layer4[-1],0.0,0.9999998807907104,0.13380438089370728,0.2,local_mean_blur_21_shifted_cam_control,0.9937314391136169,0.32683655619621277,0.9956932663917542,0.6668948829174042,-0.001961827278137207,0.6711017249411545,-0.001974202687888296,results/grad_cam_extended/figures/per_model/resnet50_full_finetune/sample_08_predicted_class_192.png,completed,
resnet50_full_finetune,sample_09,strong_model_consensus_correct,test/028/2725993_9a16e280-5973-423c-a4c2-55cf6247f447.jpg,28,28,0.9776071906089783,True,predicted,28,model.layer4[-1],0.0,0.9999998807907104,0.07249514013528824,0.2,local_mean_blur_21_shifted_cam_control,0.9776071906089783,0.9216599464416504,0.8595046997070312,0.05594724416732788,0.11810249090194702,0.05722875681026529,0.12080771503775228,results/grad_cam_extended/figures/per_model/resnet50_full_finetune/sample_09_predicted_class_028.png,completed,
resnet50_full_finetune,sample_10,strong_model_consensus_correct,test/367/2692017_393de909-7a55-4ef2-af16-deea1b8f3838.jpg,367,367,0.8405553698539734,True,predicted,367,model.layer4[-1],0.0,0.9999998807907104,0.04928229749202728,0.2,local_mean_blur_21_shifted_cam_control,0.8405553698539734,0.0249482374638319,0.6501527428627014,0.8156071323901415,0.19040262699127197,0.970319340808963,0.2265200292805814,results/grad_cam_extended/figures/per_model/resnet50_full_finetune/sample_10_predicted_class_367.png,completed,
resnet50_full_finetune,sample_11,confusable_error,test/455/2723789_7beb8135-0a4e-4822-ab0c-c9253df54396.jpg,455,456,0.9902140498161316,False,predicted,456,model.layer4[-1],0.0,0.9999998807907104,0.051548756659030914,0.2,local_mean_blur_21_shifted_cam_control,0.9902140498161316,0.07938511669635773,0.7502941489219666,0.9108289331197739,0.23991990089416504,0.9198303470738489,0.2422909480417034,results/grad_cam_extended/figures/per_model/resnet50_full_finetune/sample_11_predicted_class_456.png,completed,
