model_key,sample_id,sample_group,image_path,true_label,predicted_label,confidence,correct,target_type,target_label,target_layer,cam_min,cam_max,cam_mean,figure_png,status,error
resnet50_full_finetune,sample_01,high_confidence_correct,test/432/2769611_5e85a717-bbe4-4692-8b63-ae7bd8e53134.jpg,432,432,0.985806405544281,True,predicted,432,model.layer4[-1],0.0,0.9999998807907104,0.2831956446170807,results/grad_cam/figures/per_model/resnet50_full_finetune/sample_01_predicted_class_432.png,completed,
resnet50_full_finetune,sample_02,high_confidence_correct,test/225/2713607_ab66d426-09cf-4c60-93c1-498d8359159c.jpg,225,225,0.9397578835487366,True,predicted,225,model.layer4[-1],0.0,0.9999998807907104,0.1282055675983429,results/grad_cam/figures/per_model/resnet50_full_finetune/sample_02_predicted_class_225.png,completed,
resnet50_full_finetune,sample_03,high_confidence_correct,test/341/2715574_701a470f-9326-480e-a309-b5a827298be5.jpg,341,341,0.9728033542633057,True,predicted,341,model.layer4[-1],0.0,0.9999998807907104,0.10959620028734207,results/grad_cam/figures/per_model/resnet50_full_finetune/sample_03_predicted_class_341.png,completed,
resnet50_full_finetune,sample_04,high_confidence_correct,test/042/2770105_0b52ebec-ec43-4e0a-98e7-cec35172b6b4.jpg,42,42,0.9995031356811523,True,predicted,42,model.layer4[-1],0.0,0.9999998807907104,0.06803933531045914,results/grad_cam/figures/per_model/resnet50_full_finetune/sample_04_predicted_class_042.png,completed,
resnet50_full_finetune,sample_05,high_confidence_correct,test/432/2724934_deed1395-669b-45a1-9142-62ba567ed619.jpg,432,432,0.9743232131004333,True,predicted,432,model.layer4[-1],0.0,0.9999998807907104,0.17879581451416016,results/grad_cam/figures/per_model/resnet50_full_finetune/sample_05_predicted_class_432.png,completed,
resnet50_full_finetune,sample_06,incorrect,test/224/2738660_0f08381b-4dc0-49b2-8b8c-b78902ed2e93.jpg,224,183,0.647252082824707,False,predicted,183,model.layer4[-1],0.0,0.9999998807907104,0.022761400789022446,results/grad_cam/figures/per_model/resnet50_full_finetune/sample_06_predicted_class_183.png,completed,
resnet50_full_finetune,sample_06,incorrect,test/224/2738660_0f08381b-4dc0-49b2-8b8c-b78902ed2e93.jpg,224,183,0.647252082824707,False,true,224,model.layer4[-1],0.0,0.9999998807907104,0.02570340409874916,results/grad_cam/figures/per_model/resnet50_full_finetune/sample_06_true_class_224.png,completed,
resnet50_full_finetune,sample_07,incorrect,test/126/2768775_ba3bb283-7ed8-477c-a4e2-edd556e25922.jpg,126,130,0.11235456168651581,False,predicted,130,model.layer4[-1],0.0,0.9999998807907104,0.021061180159449577,results/grad_cam/figures/per_model/resnet50_full_finetune/sample_07_predicted_class_130.png,completed,
resnet50_full_finetune,sample_07,incorrect,test/126/2768775_ba3bb283-7ed8-477c-a4e2-edd556e25922.jpg,126,130,0.11235456168651581,False,true,126,model.layer4[-1],0.0,0.9999998807907104,0.021643145009875298,results/grad_cam/figures/per_model/resnet50_full_finetune/sample_07_true_class_126.png,completed,
resnet50_full_finetune,sample_08,incorrect,test/372/2701912_d86d7684-d24f-4013-8fc7-1364d0c54228.jpg,372,477,0.241250142455101,False,predicted,477,model.layer4[-1],0.0,0.9999998807907104,0.03927335515618324,results/grad_cam/figures/per_model/resnet50_full_finetune/sample_08_predicted_class_477.png,completed,
